"36","1","12 DE OCTUBRE                                                                                                                                                                                           "
"501","7","PAMPA DEL INFIERNO",NULL,NULL,NULL
"502","119","RURAL",NULL,NULL,NULL
"503","119","PRESIDENCIA DE LA PLAZA",NULL,NULL,NULL
"504","84","RURAL",NULL,NULL,NULL
"505","84","PRESIDENCIA ROCA",NULL,NULL,NULL
"506","21","RURAL",NULL,NULL,NULL
"507","21","PRESIDENCIA ROQUE SAENZ PE¥A",NULL,NULL,NULL
"508","14","PUERTO BERMEJO NUEVO",NULL,NULL,NULL
"509","14","PUERTO BERMEJO VIEJO",NULL,NULL,NULL
"510","14","RURAL",NULL,NULL,NULL
"511","14","PUERTO EVA PERON",NULL,NULL,NULL
"512","77","RURAL",NULL,NULL,NULL
"513","77","ESTACION GENERAL OBLIGADO",NULL,NULL,NULL
"514","77","PUERTO TIROL",NULL,NULL,NULL
"515","140","PUERTO VILELAS",NULL,NULL,NULL
"516","133","RURAL",NULL,NULL,NULL
"517","133","QUITILIPI",NULL,NULL,NULL
"518","133","VILLA EL PALMAR",NULL,NULL,NULL
"519","140","RURAL",NULL,NULL,NULL
"520","140","COLONIA BARANDA",NULL,NULL,NULL
"521","140","RESISTENCIA",NULL,NULL,NULL
"522","147","SAMUHU",NULL,NULL,NULL
"523","112","RURAL",NULL,NULL,NULL
"524","112","SAN BERNARDO",NULL,NULL,NULL
"525","43","RURAL",NULL,NULL,NULL
"526","43","SANTA SYLVINA",NULL,NULL,NULL
"527","7","RURAL",NULL,NULL,NULL
"528","7","TACO POZO",NULL,NULL,NULL
"529","91","RURAL",NULL,NULL,NULL
"530","91","TRES ISLETAS",NULL,NULL,NULL
"531","98","RURAL",NULL,NULL,NULL
"532","98","VILLA ANGELA",NULL,NULL,NULL
"533","147","RURAL",NULL,NULL,NULL
"534","147","VILLA BERTHET",NULL,NULL,NULL
"535","63","RURAL",NULL,NULL,NULL
"536","63","FORTIN LAVALLE",NULL,NULL,NULL
"537","63","PUERTO LAVALLE",NULL,NULL,NULL
"538","63","VILLA RIO BERMEJITO",NULL,NULL,NULL
